title,score
The Shawshank Redemption,8.059257641324471
Fight Club,7.939256287651155
The Dark Knight,7.92002024470956
Pulp Fiction,7.90464507469787
Inception,7.863239441892331
The Godfather,7.851236282546266
Interstellar,7.809478504799392
Forrest Gump,7.803187600597845
The Lord of the Rings: The Return of the King,7.727242708321032
The Empire Strikes Back,7.697883768481379
The Lord of the Rings: The Fellowship of the Ring,7.667341483286055
Star Wars,7.66381265301548
Schindler's List,7.641882834724227
Whiplash,7.633781136313802
The Lord of the Rings: The Two Towers,7.6238926153171125
Se7en,7.614534049882709
Guardians of the Galaxy,7.613005439784308
The Matrix,7.590703761132969
Spirited Away,7.5852085437584895
Inside Out,7.5823785714991185
Back to the Future,7.557007122903756
The Green Mile,7.5416975052456845
Django Unchained,7.536988640313485
The Imitation Game,7.536150474102442
The Godfather: Part II,7.515889072497915
The Lion King,7.513840124595004
The Silence of the Lambs,7.512361606469609
The Wolf of Wall Street,7.5047860959019905
Inglourious Basterds,7.498046562198031
Memento,7.470790978262341
Gone Girl,7.4683975111524346
The Grand Budapest Hotel,7.448304054311228
Gladiator,7.443310549767527
The Shining,7.44031672353687
The Prestige,7.436967957568658
GoodFellas,7.419750361404276
Saving Private Ryan,7.417380372165167
Shutter Island,7.415914097044211
WALL·E,7.4140253976787704
Big Hero 6,7.406231744911606
American History X,7.401748556954145
Return of the Jedi,7.388957805898176
One Flew Over the Cuckoo's Nest,7.385472778172573
The Usual Suspects,7.375156742376522
Alien,7.373160895770434
Reservoir Dogs,7.36637789407779
The Departed,7.3619885704144465
Up,7.360576936621906
The Dark Knight Rises,7.346720532407277
Her,7.340052598793376
Harry Potter and the Prisoner of Azkaban,7.316891955683205
The Truman Show,7.307533361809172
12 Years a Slave,7.2970844269062844
Room,7.2967637626492134
The Martian,7.295599599718681
Eternal Sunshine of the Spotless Mind,7.2946685478067534
Dead Poets Society,7.287570584777523
Toy Story,7.2841191145676625
Blade Runner,7.278480793446946
Psycho,7.268143563600953
Scarface,7.267225512886135
Kill Bill: Vol. 1,7.264511918389693
American Beauty,7.254833287043949
Finding Nemo,7.251777322104191
Captain America: The Winter Soldier,7.235379379522019
V for Vendetta,7.229356122998248
Prisoners,7.2249559643494745
Titanic,7.224676417479916
The Avengers,7.223399356187434
Batman Begins,7.21859962542438
2001: A Space Odyssey,7.212812876287776
Deadpool,7.212652001408683
12 Angry Men,7.21056281147947
"The Good, the Bad and the Ugly",7.210427578656721
Terminator 2: Judgment Day,7.209275192562041
Harry Potter and the Philosopher's Stone,7.207368300266632
Pirates of the Caribbean: The Curse of the Black Pearl,7.206671826606319
Taxi Driver,7.198026294159739
Dallas Buyers Club,7.196521927626408
The Theory of Everything,7.19028395441764
Amélie,7.190165526159234
Howl's Moving Castle,7.188083823804826
Edge of Tomorrow,7.186047457570963
Princess Mononoke,7.18596540400853
Jurassic Park,7.185923786280801
Good Will Hunting,7.185174042861058
Raiders of the Lost Ark,7.180740670873129
Ex Machina,7.178429935042461
Catch Me If You Can,7.175302338708098
Iron Man,7.1734858489295865
X-Men: Days of Future Past,7.171153714535246
"Monsters, Inc.",7.169642626733151
Toy Story 3,7.169258817614788
The Hobbit: The Desolation of Smaug,7.1643166407139125
Gran Torino,7.162425512728088
Into the Wild,7.157072571339272
Harry Potter and the Goblet of Fire,7.15242911942391
The Hateful Eight,7.1464969888878676
Donnie Darko,7.141283871706903
The Big Lebowski,7.14101422946818
Braveheart,7.128758541063351
Requiem for a Dream,7.123732469490868
Kill Bill: Vol. 2,7.120947081929732
Aliens,7.115658744835956
The Hunger Games: Catching Fire,7.111484891506252
The Sixth Sense,7.107102377919164
Spotlight,7.106057862894129
The Fault in Our Stars,7.1047715358699035
Trainspotting,7.101270350932078
Apocalypse Now,7.099154516586582
The Notebook,7.097433072711338
A Beautiful Mind,7.090223252646409
No Country for Old Men,7.089467549650555
Harry Potter and the Chamber of Secrets,7.085850497148744
The Perks of Being a Wallflower,7.085021678361809
Ratatouille,7.083053805921674
Snatch,7.0777720181202
How to Train Your Dragon,7.0732924778049595
Oldboy,7.072962994893007
Harry Potter and the Order of the Phoenix,7.072097566264553
Nightcrawler,7.070326784667367
Harry Potter and the Half-Blood Prince,7.0628555676134
The Incredibles,7.056055189242133
Die Hard,7.052718131286845
The Pianist,7.052681556525011
Avatar,7.050669301008783
Indiana Jones and the Last Crusade,7.0445351464568375
Avengers: Age of Ultron,7.04196762438448
How to Train Your Dragon 2,7.0393674045138335
Pan's Labyrinth,7.0318990439148665
The Revenant,7.030342003652748
Edward Scissorhands,7.024184320858587
Birdman,7.022758369924718
The Pursuit of Happyness,7.022585184690425
Star Trek,7.021749448568089
Mad Max: Fury Road,7.019213538345571
American Sniper,7.018810951402829
Star Trek Into Darkness,7.015703630662713
Million Dollar Baby,7.008965304829616
Gravity,7.007424591519515
Slumdog Millionaire,7.005840484176748
Now You See Me,6.9968804699918365
The King's Speech,6.996132841338053
About Time,6.996069082521176
Frozen,6.988721814965963
Cast Away,6.988143381630845
Fury,6.984345514639064
Rush,6.981763180949166
Back to the Future Part II,6.975764582503123
The Lego Movie,6.972709680319086
Me Before You,6.970059129824152
Drive,6.967834093338283
The Help,6.962396807938907
Captain Phillips,6.954209345559173
The Hangover,6.945783283181241
Black Swan,6.945767372037234
Dawn of the Planet of the Apes,6.944633537366078
Aladdin,6.9424193428133
Tangled,6.934805393328341
Life of Pi,6.9332645565233255
Furious 7,6.930807427985867
The Terminator,6.927837254437885
Shrek,6.923291292562127
The Conjuring,6.912349544636987
The Fifth Element,6.9120362363067755
Casino Royale,6.909991954698106
Jaws,6.909151720134737
Toy Story 2,6.9066062282754945
The Great Gatsby,6.904010449562756
Captain America: Civil War,6.895934554582704
Shaun of the Dead,6.892224355363094
The Bourne Identity,6.890424649514554
Mulan,6.879328253660097
Despicable Me,6.877212278735776
Big Fish,6.87669559411288
District 9,6.874654853053061
Taken,6.871902599297323
The Curious Case of Benjamin Button,6.86719323929483
E.T. the Extra-Terrestrial,6.86524419369507
Ocean's Eleven,6.837700251694987
X-Men: First Class,6.836046983343049
The Hobbit: An Unexpected Journey,6.835334391822543
Seven Pounds,6.832503274069789
The Bourne Ultimatum,6.830198077792444
The Exorcist,6.826598375104908
Zombieland,6.822034035126977
Boyhood,6.820588070267812
The Hobbit: The Battle of the Five Armies,6.819205897623393
Groundhog Day,6.8191641771460105
Kick-Ass,6.814225282240522
Wreck-It Ralph,6.810880749466044
Hot Fuzz,6.80449006659687
The Big Short,6.800501236081837
Star Wars: Episode III - Revenge of the Sith,6.7888365233908035
Children of Men,6.784992120243055
Ant-Man,6.783769718449187
Sherlock Holmes,6.780528140928699
Ice Age,6.774686272233416
Midnight in Paris,6.771979990303574
The Age of Adaline,6.771979990303574
(500) Days of Summer,6.770548286706774
The Maze Runner,6.768503369889061
The Hunger Games,6.7684973696918735
Pirates of the Caribbean: Dead Man's Chest,6.764418750335695
The Bourne Supremacy,6.763273190135567
Blood Diamond,6.760972033519008
Pitch Perfect,6.756486071101532
300,6.755836994891038
Sin City,6.750352849136354
Argo,6.7478519395746765
The Social Network,6.745697057956591
Skyfall,6.7427188209436375
Despicable Me 2,6.74226274745625
